epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1404.38,1.16153,0.98941,0.01307,0.65241,0.58586,0.6261,0.38365,1.50377,1.45905,0.02872,0.00132868,0.00132868,0.00132868
43,1442.53,1.13717,0.93608,0.013,0.64676,0.52399,0.56583,0.35636,1.71429,1.73104,0.0365,0.00132043,0.00132043,0.00132043
44,1474.84,1.13526,1.00946,0.01266,0.64105,0.40152,0.44565,0.27819,2.4768,2.31867,0.0665,0.00131218,0.00131218,0.00131218
45,1507,1.08495,0.9638,0.01267,0.70489,0.61558,0.66043,0.42197,1.43931,1.38485,0.02474,0.00130393,0.00130393,0.00130393
46,1539.14,1.16538,0.96659,0.01312,0.71887,0.66963,0.72224,0.46661,1.39299,1.29453,0.02541,0.00129568,0.00129568,0.00129568
47,1572.73,1.07102,0.89336,0.01171,0.68877,0.69114,0.70257,0.45467,1.31531,1.3445,0.02246,0.00128742,0.00128742,0.00128742
48,1604.83,1.12276,0.9234,0.01225,0.72896,0.70382,0.74266,0.48183,1.31183,1.13524,0.02112,0.00127917,0.00127917,0.00127917
49,1638.1,1.07514,0.889,0.01205,0.68559,0.66705,0.69745,0.44767,1.34983,1.2952,0.02196,0.00127092,0.00127092,0.00127092
50,1670.37,1.12934,0.90792,0.01187,0.5952,0.63609,0.61858,0.38855,1.38154,nan,0.02339,0.00126267,0.00126267,0.00126267
51,1702.71,1.13338,0.9366,0.01268,0.67457,0.56753,0.60323,0.38674,1.34333,nan,0.02301,0.00125442,0.00125442,0.00125442
52,1734.86,1.05593,0.86575,0.01159,0.71843,0.65101,0.70616,0.47385,1.30939,1.2338,0.02223,0.00124617,0.00124617,0.00124617
53,1767.12,1.0664,0.88968,0.01128,0.6747,0.63625,0.67899,0.44294,1.36627,1.30213,0.02397,0.00123791,0.00123791,0.00123791
54,1799.38,1.09574,0.91149,0.01192,0.73166,0.56692,0.64141,0.41389,1.36387,1.49939,0.02459,0.00122966,0.00122966,0.00122966
55,1831.73,1.04425,0.85792,0.01151,0.74075,0.6129,0.68798,0.45616,1.28765,1.36551,0.02277,0.00122141,0.00122141,0.00122141
56,1863.92,1.04655,0.8501,0.01172,0.62509,0.65938,0.65604,0.42452,1.3323,1.23564,0.02247,0.00121316,0.00121316,0.00121316
57,1896.64,1.05615,0.83959,0.01193,0.75601,0.63763,0.70274,0.45634,1.28017,1.32298,0.02124,0.00120491,0.00120491,0.00120491
58,1931.8,1.0561,0.83706,0.01142,0.69908,0.63889,0.69184,0.44299,1.29335,1.18407,0.02023,0.00119666,0.00119666,0.00119666
59,1966.31,1.05736,0.85986,0.01153,0.72069,0.63636,0.70987,0.4643,1.32521,1.13663,0.02236,0.0011884,0.0011884,0.0011884
60,2004.31,1.05083,0.82726,0.01168,0.71381,0.66288,0.7178,0.48261,1.25903,1.17298,0.02103,0.00118015,0.00118015,0.00118015
61,2038.19,1.03393,0.80184,0.01114,0.71183,0.67298,0.73716,0.4878,1.29934,1.12307,0.02149,0.0011719,0.0011719,0.0011719
62,2072.29,1.05986,0.827,0.0117,0.62158,0.66793,0.65516,0.45135,1.22093,1.26435,0.02053,0.00116365,0.00116365,0.00116365
63,2104.54,0.99828,0.77501,0.01042,0.73975,0.66333,0.74084,0.50345,1.25573,1.09134,0.02019,0.0011554,0.0011554,0.0011554
64,2138.1,0.98704,0.75386,0.01061,0.7396,0.6553,0.72382,0.49011,1.26802,1.14337,0.02145,0.00114715,0.00114715,0.00114715
65,2170.21,1.01673,0.79625,0.01095,0.79725,0.65024,0.75886,0.51934,1.25706,1.04158,0.02142,0.00113889,0.00113889,0.00113889
66,2204.74,1.03035,0.81861,0.01077,0.76357,0.72377,0.77763,0.52399,1.30868,1.02916,0.02178,0.00113064,0.00113064,0.00113064
67,2238.11,1.04558,0.8363,0.01117,0.80206,0.66923,0.7702,0.52577,1.1743,1.06038,0.01768,0.00112239,0.00112239,0.00112239
68,2271.64,1.00978,0.78623,0.01067,0.73283,0.64583,0.71537,0.49609,1.21521,1.19849,0.01905,0.00111414,0.00111414,0.00111414
69,2304.28,1.05013,0.81043,0.01095,0.71775,0.67827,0.73973,0.49855,1.21983,1.10303,0.01978,0.00110589,0.00110589,0.00110589
70,2339.14,0.9741,0.76062,0.01025,0.72781,0.68556,0.73978,0.50368,1.22188,1.0969,0.0202,0.00109764,0.00109764,0.00109764
71,2374.38,1.03229,0.83062,0.01099,0.72031,0.66203,0.70693,0.46706,1.31611,1.10185,0.02252,0.00108938,0.00108938,0.00108938
72,2406.61,1.01781,0.82651,0.01109,0.75432,0.70026,0.7539,0.519,1.24941,1.03312,0.02169,0.00108113,0.00108113,0.00108113
73,2438.64,0.97617,0.77773,0.01017,0.77953,0.69697,0.77089,0.50956,1.29653,1.03202,0.02121,0.00107288,0.00107288,0.00107288
74,2471.11,0.94476,0.72625,0.01038,0.70465,0.65401,0.69944,0.47164,1.22504,1.14022,0.02078,0.00106463,0.00106463,0.00106463
75,2503.37,0.95635,0.73959,0.00979,0.7517,0.65323,0.73161,0.5022,1.23408,1.08885,0.01938,0.00105638,0.00105638,0.00105638
76,2535.85,0.96912,0.75594,0.01035,0.75752,0.6945,0.72992,0.4932,1.23632,1.19335,0.01951,0.00104813,0.00104813,0.00104813
77,2568.23,1.00332,0.78628,0.01047,0.76021,0.66819,0.75276,0.52834,1.18725,1.19876,0.01926,0.00103987,0.00103987,0.00103987
78,2601.95,1.00671,0.7473,0.01103,0.79941,0.67298,0.75936,0.51448,1.21237,0.99807,0.01946,0.00103162,0.00103162,0.00103162
79,2633.94,0.95717,0.71046,0.01014,0.78441,0.66896,0.77636,0.52609,1.1966,1.00639,0.01978,0.00102337,0.00102337,0.00102337
80,2666.07,1.02965,0.79427,0.01103,0.81667,0.71461,0.79179,0.53312,1.28686,1.03449,0.02253,0.00101512,0.00101512,0.00101512
81,2702.38,1.01371,0.77503,0.01068,0.78618,0.71413,0.78255,0.55224,1.15292,1.05761,0.0182,0.00100687,0.00100687,0.00100687
82,2737.5,0.9725,0.74285,0.01022,0.78107,0.72573,0.76156,0.52635,1.20786,1.03743,0.02092,0.000998616,0.000998616,0.000998616
83,2772.74,0.98129,0.69966,0.01014,0.80369,0.69167,0.77926,0.55545,1.12703,0.99218,0.01752,0.000990365,0.000990365,0.000990365
84,2806.17,0.98742,0.72289,0.01034,0.78408,0.68998,0.78814,0.55057,1.15113,0.99908,0.01886,0.000982113,0.000982113,0.000982113
85,2839.46,0.91944,0.69564,0.00994,0.71446,0.7166,0.76648,0.52783,1.19327,0.97976,0.01919,0.000973861,0.000973861,0.000973861
86,2871.59,0.92262,0.68887,0.00982,0.75013,0.72809,0.76976,0.55584,1.13998,0.96382,0.01806,0.00096561,0.00096561,0.00096561
87,2904.71,0.91277,0.65053,0.00982,0.80152,0.71432,0.79059,0.56342,1.16427,0.9291,0.01769,0.000957358,0.000957358,0.000957358
88,2937.88,0.92372,0.68118,0.0098,0.78476,0.70007,0.77883,0.55677,1.1197,0.9594,0.01698,0.000949106,0.000949106,0.000949106
89,2969.97,0.96034,0.73065,0.00993,0.79542,0.71465,0.78548,0.55717,1.14238,1.00419,0.01673,0.000940855,0.000940855,0.000940855
90,3001.9,0.92187,0.68979,0.00994,0.77516,0.69591,0.7712,0.54192,1.18752,1.02553,0.01878,0.000932603,0.000932603,0.000932603
91,3033.98,0.94881,0.73265,0.00998,0.75769,0.68284,0.72897,0.51374,1.12668,1.12579,0.01614,0.000924352,0.000924352,0.000924352
92,3065.91,0.94694,0.70401,0.00944,0.70708,0.66203,0.67205,0.4675,1.20275,1.26049,0.01908,0.0009161,0.0009161,0.0009161
93,3097.92,0.92614,0.66235,0.00998,0.7698,0.69444,0.76206,0.53315,1.16719,0.96288,0.01952,0.000907848,0.000907848,0.000907848
94,3129.96,0.91761,0.69524,0.0101,0.76913,0.69506,0.77564,0.54815,1.16994,0.94744,0.02006,0.000899597,0.000899597,0.000899597
95,3161.82,0.88943,0.62262,0.00961,0.81777,0.6875,0.77521,0.54394,1.15412,1.02748,0.02014,0.000891345,0.000891345,0.000891345
96,3194.03,0.92869,0.68849,0.00977,0.75341,0.68307,0.7603,0.51977,1.1998,1.01699,0.01915,0.000883093,0.000883093,0.000883093
97,3226.28,0.92347,0.68173,0.00991,0.74311,0.73826,0.77514,0.55514,1.14612,0.99123,0.0188,0.000874842,0.000874842,0.000874842
98,3258.76,0.91251,0.66678,0.00944,0.7898,0.70455,0.76075,0.53329,1.17916,1.0171,0.01772,0.00086659,0.00086659,0.00086659
99,3290.82,0.92526,0.6651,0.00924,0.7505,0.74495,0.77995,0.55655,1.12756,0.96588,0.0189,0.000858338,0.000858338,0.000858338
100,3323.02,0.91485,0.62797,0.00962,0.78862,0.71056,0.76286,0.54762,1.11714,0.96375,0.01758,0.000850087,0.000850087,0.000850087
101,3354.99,0.91948,0.6716,0.00939,0.71697,0.73092,0.76576,0.54698,1.12564,0.98922,0.01755,0.000841835,0.000841835,0.000841835
102,3387.24,0.92259,0.68716,0.00978,0.74259,0.69571,0.74289,0.52917,1.15243,1.07295,0.01995,0.000833583,0.000833583,0.000833583
