epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,304.312,1.23481,1.07751,0.01273,0.65457,0.63949,0.67436,0.44807,1.34763,1.32281,0.02155,0.00132868,0.00132868,0.00132868
43,311.763,1.1915,1.02329,0.01261,0.71461,0.5852,0.66768,0.42775,1.42579,1.35496,0.02331,0.00132043,0.00132043,0.00132043
44,318.74,1.19102,1.04652,0.01301,0.70479,0.60775,0.67032,0.43845,1.40481,1.36928,0.02202,0.00131218,0.00131218,0.00131218
45,326.018,1.22659,1.08873,0.0131,0.66077,0.61156,0.64813,0.41774,1.45723,1.35619,0.02426,0.00130393,0.00130393,0.00130393
46,332.904,1.18856,1.02533,0.01252,0.6342,0.61364,0.64291,0.41277,1.42997,1.3296,0.02268,0.00129568,0.00129568,0.00129568
47,339.847,1.20044,1.0083,0.01264,0.65772,0.61869,0.64361,0.39046,1.49779,1.42727,0.02416,0.00128742,0.00128742,0.00128742
48,346.69,1.19811,1.00762,0.01279,0.63519,0.60985,0.64154,0.39982,1.50762,1.37395,0.02489,0.00127917,0.00127917,0.00127917
49,353.89,1.19457,1.04583,0.01264,0.5659,0.6281,0.59069,0.3633,1.48187,1.50247,0.02469,0.00127092,0.00127092,0.00127092
50,360.937,1.17274,0.99397,0.01195,0.62642,0.59022,0.62204,0.38845,1.46422,1.52213,0.02462,0.00126267,0.00126267,0.00126267
51,368.597,1.18879,1.02584,0.01285,0.70931,0.61364,0.66515,0.44211,1.36234,1.32315,0.0215,0.00125442,0.00125442,0.00125442
52,375.75,1.14118,0.96283,0.01197,0.65693,0.65332,0.6752,0.44733,1.35927,1.22899,0.02204,0.00124617,0.00124617,0.00124617
53,382.166,1.16067,0.99174,0.01147,0.67817,0.61869,0.6696,0.45078,1.31258,1.23692,0.01978,0.00123791,0.00123791,0.00123791
54,388.572,1.20481,1.02373,0.01194,0.67654,0.60606,0.67006,0.45585,1.31321,1.35978,0.02056,0.00122966,0.00122966,0.00122966
55,394.975,1.11937,0.92979,0.01198,0.71391,0.62079,0.69921,0.47605,1.28781,1.26667,0.01937,0.00122141,0.00122141,0.00122141
56,402.044,1.13607,0.9626,0.01159,0.70564,0.62753,0.67131,0.46264,1.34164,1.49844,0.02122,0.00121316,0.00121316,0.00121316
57,408.768,1.13874,0.94722,0.01154,0.62516,0.6013,0.63035,0.40395,1.38922,1.43358,0.02196,0.00120491,0.00120491,0.00120491
58,415.457,1.11517,0.9261,0.01173,0.662,0.61237,0.65186,0.44024,1.34965,1.27972,0.02107,0.00119666,0.00119666,0.00119666
59,421.827,1.14571,0.96986,0.01197,0.68369,0.58956,0.64997,0.45299,1.27735,1.26737,0.01988,0.0011884,0.0011884,0.0011884
60,428.337,1.11628,0.92153,0.01177,0.75581,0.57955,0.6871,0.4634,1.32369,1.29948,0.02075,0.00118015,0.00118015,0.00118015
