epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1053.31,1.11923,0.962,0.01274,0.70354,0.6367,0.7116,0.44614,1.31992,1.17978,0.02149,0.00132868,0.00132868,0.00132868
43,1081.63,1.16369,0.97333,0.01327,0.77069,0.62626,0.71703,0.46181,1.31852,1.18539,0.02127,0.00132043,0.00132043,0.00132043
44,1110.78,1.17629,1.01576,0.0135,0.73788,0.60322,0.71157,0.4484,1.40878,1.17279,0.02512,0.00131218,0.00131218,0.00131218
45,1137.59,1.16075,0.986,0.01372,0.70123,0.59975,0.67946,0.43813,1.38479,1.25389,0.02317,0.00130393,0.00130393,0.00130393
46,1166.48,1.14185,0.9446,0.01225,0.78025,0.66041,0.73667,0.48329,1.29555,1.19945,0.02164,0.00129568,0.00129568,0.00129568
47,1193.1,1.15586,0.95329,0.01277,0.66892,0.67172,0.69069,0.45588,1.31626,1.20391,0.02169,0.00128742,0.00128742,0.00128742
48,1218.45,1.1405,0.92264,0.01259,0.71664,0.67928,0.73161,0.4712,1.3183,1.13375,0.02241,0.00127917,0.00127917,0.00127917
49,1244.51,1.1069,0.90967,0.01286,0.71659,0.59634,0.67516,0.43077,1.35856,1.2997,0.0248,0.00127092,0.00127092,0.00127092
50,1272.33,1.08806,0.88822,0.012,0.77903,0.66035,0.74584,0.49129,1.29586,1.05151,0.02199,0.00126267,0.00126267,0.00126267
51,1298.66,1.12645,0.91996,0.01265,0.69186,0.65172,0.66175,0.42452,1.35248,1.24644,0.02238,0.00125442,0.00125442,0.00125442
52,1325.41,1.10211,0.91807,0.01177,0.72189,0.61598,0.66777,0.44955,1.31627,1.22922,0.02252,0.00124617,0.00124617,0.00124617
53,1351.08,1.10339,0.87794,0.01152,0.67662,0.6553,0.69654,0.46966,1.27933,1.21819,0.021,0.00123791,0.00123791,0.00123791
54,1378.21,1.12071,0.89909,0.01204,0.69657,0.68212,0.7112,0.46148,1.31045,1.07753,0.02236,0.00122966,0.00122966,0.00122966
55,1405.08,1.10035,0.87141,0.01167,0.65474,0.73273,0.75087,0.49363,1.27737,1.12654,0.02139,0.00122141,0.00122141,0.00122141
56,1439.97,1.08698,0.84243,0.01203,0.66707,0.65783,0.6933,0.44167,1.32321,1.13021,0.02206,0.00121316,0.00121316,0.00121316
57,1471.92,1.06782,0.8143,0.01158,0.7331,0.67045,0.74002,0.50208,1.2114,0.98661,0.01908,0.00120491,0.00120491,0.00120491
58,1533.11,1.08016,0.86058,0.01153,0.66359,0.6154,0.6736,0.43839,1.36691,1.2327,0.02289,0.00119666,0.00119666,0.00119666
59,1592.93,1.04212,0.77726,0.01144,0.77763,0.64107,0.72867,0.48785,1.278,1.13707,0.02034,0.0011884,0.0011884,0.0011884
60,1627.93,1.06787,0.81534,0.01139,0.67593,0.63669,0.68064,0.45802,1.27039,1.24218,0.02029,0.00118015,0.00118015,0.00118015
61,1654.72,1.09963,0.85071,0.01149,0.81454,0.59722,0.72676,0.48731,1.25353,1.13746,0.02014,0.0011719,0.0011719,0.0011719
62,1680.01,1.08795,0.86046,0.01234,0.74475,0.64906,0.72385,0.48518,1.27117,1.12336,0.02185,0.00116365,0.00116365,0.00116365
63,1721.66,1.03385,0.8038,0.01109,0.76856,0.65394,0.74626,0.50932,1.21635,1.05229,0.01954,0.0011554,0.0011554,0.0011554
64,1747.98,1.04562,0.81089,0.01116,0.75435,0.63131,0.72422,0.49609,1.23988,1.1344,0.02167,0.00114715,0.00114715,0.00114715
65,1773.63,1.01473,0.80748,0.01093,0.71174,0.69754,0.74929,0.50342,1.26759,1.13923,0.02157,0.00113889,0.00113889,0.00113889
66,1802.94,1.05829,0.8542,0.01104,0.7299,0.68813,0.73567,0.49637,1.25626,1.1086,0.02071,0.00113064,0.00113064,0.00113064
67,1829.59,1.08111,0.8433,0.01131,0.7611,0.63384,0.72984,0.50381,1.19822,1.13776,0.02016,0.00112239,0.00112239,0.00112239
68,1861.11,1.03698,0.80718,0.01136,0.69227,0.69192,0.71854,0.47327,1.2971,1.13805,0.02352,0.00111414,0.00111414,0.00111414
69,1891.88,1.02828,0.79036,0.01084,0.7498,0.68182,0.74784,0.50155,1.27029,1.14332,0.02058,0.00110589,0.00110589,0.00110589
