epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,718.125,1.15369,0.98458,0.01175,0.67121,0.56223,0.62754,0.42127,1.28679,1.3308,0.01983,0.00132868,0.00132868,0.00132868
43,734.31,1.08785,0.89829,0.01144,0.77818,0.58569,0.69278,0.466,1.27958,1.18207,0.02091,0.00132043,0.00132043,0.00132043
44,750.485,1.12108,0.90669,0.01142,0.66726,0.65404,0.66694,0.44054,1.30879,1.22269,0.01979,0.00131218,0.00131218,0.00131218
45,766.602,1.11558,0.92754,0.01164,0.73669,0.65133,0.71705,0.47748,1.31582,1.20752,0.02055,0.00130393,0.00130393,0.00130393
46,784.175,1.11637,0.91289,0.01165,0.70658,0.65657,0.70724,0.46307,1.31236,1.20077,0.02012,0.00129568,0.00129568,0.00129568
47,805.817,1.08721,0.9051,0.01154,0.69131,0.64394,0.68946,0.4469,1.3109,1.31711,0.02007,0.00128742,0.00128742,0.00128742
48,832.054,1.10742,0.93353,0.01165,0.66929,0.6685,0.71331,0.48112,1.25492,1.11464,0.01924,0.00127917,0.00127917,0.00127917
49,849.274,1.07793,0.88456,0.011,0.68481,0.66793,0.71005,0.47255,1.31006,1.09771,0.01997,0.00127092,0.00127092,0.00127092
50,865.616,1.08294,0.87735,0.01081,0.68018,0.61832,0.67999,0.45557,1.301,1.1934,0.0209,0.00126267,0.00126267,0.00126267
51,881.938,1.0747,0.89854,0.01159,0.73135,0.66337,0.72199,0.49377,1.27037,1.11469,0.0192,0.00125442,0.00125442,0.00125442
52,899.534,1.09274,0.89132,0.01157,0.68414,0.67172,0.72335,0.46076,1.32841,1.1473,0.02028,0.00124617,0.00124617,0.00124617
53,916.523,1.07486,0.88254,0.01058,0.73525,0.62473,0.69789,0.46017,1.26504,1.19877,0.01953,0.00123791,0.00123791,0.00123791
54,942.209,1.13233,0.91104,0.01117,0.70874,0.62964,0.67057,0.43825,1.39438,1.2556,0.02425,0.00122966,0.00122966,0.00122966
55,958.047,1.01619,0.79501,0.0104,0.70362,0.72986,0.75075,0.50902,1.25236,1.06902,0.01975,0.00122141,0.00122141,0.00122141
56,975.427,1.03584,0.87005,0.01088,0.69767,0.63262,0.68921,0.45197,1.25578,1.24243,0.02032,0.00121316,0.00121316,0.00121316
57,991.309,1.04948,0.86482,0.01102,0.71246,0.69192,0.74952,0.49937,1.27372,1.10059,0.02037,0.00120491,0.00120491,0.00120491
58,1007.65,1.09552,0.88928,0.01136,0.73992,0.70202,0.74893,0.50494,1.28904,1.0606,0.0199,0.00119666,0.00119666,0.00119666
59,1023.8,1.07063,0.84662,0.01101,0.69543,0.66988,0.69682,0.46109,1.30063,1.08095,0.01992,0.0011884,0.0011884,0.0011884
60,1048.53,1.06556,0.83696,0.01078,0.70946,0.67324,0.73167,0.49841,1.28084,1.12648,0.01944,0.00118015,0.00118015,0.00118015
61,1064.61,1.04769,0.84064,0.01014,0.72005,0.66363,0.70512,0.48363,1.2286,1.14805,0.01884,0.0011719,0.0011719,0.0011719
62,1080.86,1.08588,0.8632,0.0111,0.79734,0.64927,0.74536,0.49981,1.23746,1.11612,0.01872,0.00116365,0.00116365,0.00116365
63,1096.92,1.032,0.79001,0.01041,0.75999,0.66737,0.76184,0.51821,1.22682,1.01233,0.01783,0.0011554,0.0011554,0.0011554
64,1114.29,1.00632,0.80043,0.01003,0.79947,0.66236,0.75685,0.52428,1.18504,1.0821,0.017,0.00114715,0.00114715,0.00114715
65,1131.49,1.05023,0.81683,0.01061,0.68707,0.6921,0.74974,0.50623,1.21751,1.02252,0.01901,0.00113889,0.00113889,0.00113889
66,1147.59,1.04975,0.80313,0.01008,0.72134,0.68687,0.74462,0.51901,1.19218,1.06152,0.01782,0.00113064,0.00113064,0.00113064
67,1163.61,1.04736,0.81915,0.01075,0.66654,0.69676,0.70503,0.48004,1.21095,1.10226,0.01864,0.00112239,0.00112239,0.00112239
68,1179.76,1.00824,0.75824,0.01016,0.73807,0.65783,0.72791,0.50056,1.20613,1.25933,0.01747,0.00111414,0.00111414,0.00111414
69,1195.82,1.01114,0.79248,0.01025,0.71092,0.69862,0.72949,0.50229,1.22048,1.17757,0.01887,0.00110589,0.00110589,0.00110589
70,1212.21,1.00988,0.78666,0.01034,0.81611,0.65625,0.76728,0.53197,1.21116,0.98594,0.01847,0.00109764,0.00109764,0.00109764
71,1244.71,1.04016,0.81946,0.01074,0.71452,0.65775,0.72835,0.49698,1.24474,1.08861,0.01952,0.00108938,0.00108938,0.00108938
72,1260.74,1.03515,0.8121,0.01031,0.74084,0.69694,0.75194,0.52064,1.24328,1.06602,0.01982,0.00108113,0.00108113,0.00108113
73,1277.02,0.99247,0.74957,0.00983,0.73337,0.67627,0.7328,0.52002,1.19225,1.10117,0.01879,0.00107288,0.00107288,0.00107288
74,1292.97,1.00588,0.75574,0.01039,0.7719,0.65674,0.77353,0.54527,1.1868,0.99662,0.01889,0.00106463,0.00106463,0.00106463
75,1310.32,0.9776,0.73762,0.00965,0.73093,0.68805,0.7655,0.53262,1.19205,1.01657,0.01926,0.00105638,0.00105638,0.00105638
76,1326.33,0.98664,0.76159,0.00977,0.78041,0.7399,0.79382,0.55697,1.14614,0.98132,0.01786,0.00104813,0.00104813,0.00104813
77,1343.72,0.98364,0.76821,0.00987,0.7006,0.73093,0.75705,0.51691,1.22884,0.99381,0.01979,0.00103987,0.00103987,0.00103987
78,1359.86,0.94555,0.74075,0.00991,0.81726,0.65278,0.78224,0.54297,1.1897,0.98336,0.01812,0.00103162,0.00103162,0.00103162
79,1375.76,0.95012,0.69249,0.00897,0.72916,0.72096,0.77466,0.52699,1.23804,1.05199,0.01785,0.00102337,0.00102337,0.00102337
80,1391.96,1.01774,0.76894,0.01017,0.75574,0.70707,0.76939,0.53535,1.21871,1.06892,0.01835,0.00101512,0.00101512,0.00101512
81,1407.93,0.99042,0.75228,0.00977,0.75555,0.68938,0.77213,0.53054,1.20662,1.03075,0.01816,0.00100687,0.00100687,0.00100687
82,1424.16,1.00831,0.76545,0.01014,0.79643,0.67643,0.77296,0.53604,1.17533,1.02436,0.01855,0.000998616,0.000998616,0.000998616
83,1440.14,0.99442,0.74707,0.00947,0.75073,0.72601,0.78021,0.54898,1.1814,0.97303,0.01853,0.000990365,0.000990365,0.000990365
84,1456.26,1.00551,0.77863,0.00988,0.76205,0.7307,0.77532,0.53972,1.1567,0.95691,0.01785,0.000982113,0.000982113,0.000982113
85,1472.38,0.94262,0.73291,0.00973,0.75043,0.72031,0.7739,0.52996,1.22653,0.99317,0.0197,0.000973861,0.000973861,0.000973861
86,1488.31,0.93386,0.70349,0.00924,0.7277,0.70387,0.75874,0.54234,1.14009,0.93952,0.01639,0.00096561,0.00096561,0.00096561
87,1504.38,0.9368,0.69909,0.00907,0.81092,0.69005,0.79647,0.56397,1.13631,0.91059,0.01652,0.000957358,0.000957358,0.000957358
88,1521.6,0.96536,0.70692,0.00923,0.77304,0.69318,0.77556,0.5442,1.14978,0.98211,0.01709,0.000949106,0.000949106,0.000949106
89,1537.7,0.98657,0.74173,0.00973,0.70851,0.748,0.77596,0.53693,1.18079,0.96981,0.01757,0.000940855,0.000940855,0.000940855
90,1553.69,0.95282,0.69988,0.00932,0.76128,0.70406,0.7735,0.53175,1.15835,0.98496,0.0171,0.000932603,0.000932603,0.000932603
91,1569.86,0.99674,0.76008,0.0097,0.76808,0.70845,0.7786,0.54749,1.15146,1.03032,0.01656,0.000924352,0.000924352,0.000924352
92,1585.97,0.96103,0.7316,0.00933,0.75501,0.7197,0.78582,0.55642,1.14002,0.99051,0.01705,0.0009161,0.0009161,0.0009161
93,1601.95,0.95101,0.67424,0.00955,0.72802,0.75,0.79061,0.55038,1.16245,0.95434,0.01762,0.000907848,0.000907848,0.000907848
94,1617.98,0.92237,0.67071,0.00909,0.85478,0.68941,0.81188,0.57558,1.18046,0.91316,0.01813,0.000899597,0.000899597,0.000899597
95,1635.1,0.90745,0.65567,0.00868,0.74938,0.70618,0.77049,0.53961,1.17903,0.96325,0.01705,0.000891345,0.000891345,0.000891345
96,1651.15,0.91413,0.66323,0.00878,0.77238,0.68265,0.7947,0.55928,1.16577,0.96921,0.01774,0.000883093,0.000883093,0.000883093
97,1667.09,0.90111,0.666,0.00939,0.73787,0.75942,0.80414,0.57881,1.12174,0.93142,0.01674,0.000874842,0.000874842,0.000874842
